ID,Treatment,Original_vial,Male1_ID,Male2_ID,Offspring_Gen1,Offspring_Gen2,Offspring_Gen3,Offspring_Gen4,Offspring_Gen5,Offspring_Gen6,Offspring_Gen7,Offspring_Gen8,Offspring_Gen9,Offspring_Gen10
65,Monogamous,91,91,91,23,41,8,26,10,11,0,0,0,0
66,Polyandrous,30,30,26,97,322,61,130,0,0,0,0,0,0
67,Polyandrous,38,38,39,31,185,128,264,121,257,351,116,275,221
68,Monogamous,92,92,92,57,272,88,174,234,242,142,418,324,115
69,Monogamous,93,93,93,18,179,37,212,NA,132,111,278,110,288
70,Polyandrous,37,37,38,98,186,30,212,77,141,147,147,689,147
71,Polyandrous,25,25,21,3,15,139,6,1,0,0,0,0,0
72,Polyandrous,40,40,36,85,283,39,27,72,101,52,81,197,112
73,Monogamous,94,94,94,88,357,8,30,63,56,115,6,46,53
74,Polyandrous,33,33,34,5,0,0,0,0,0,0,0,0,0
75,Monogamous,95,95,95,74,231,97,194,98,127,197,346,123,139
76,Polyandrous,23,23,24,40,571,378,21,64,102,60,213,239,392
77,Monogamous,96,96,96,81,0,0,0,0,0,0,0,0,0
78,Polyandrous,35,35,31,89,307,399,15,9,11,33,59,199,124
79,Monogamous,97,97,97,56,187,108,1,0,0,0,0,0,0
80,Monogamous,98,98,98,0,0,0,0,0,0,0,0,0,0
81,Monogamous,99,99,99,14,101,214,31,14,1,0,0,0,0
82,Polyandrous,16,16,17,19,280,95,1,0,0,0,0,0,0
83,Polyandrous,17,17,18,85,466,413,12,3,21,33,91,39,51
84,Monogamous,100,100,100,69,706,449,83,209,237,314,439,300,549
85,Monogamous,101,101,101,0,0,0,0,0,0,0,0,0,0
86,Polyandrous,1,1,2,78,554,516,209,171,584,101,651,236,675
87,Polyandrous,2,2,3,80,732,261,24,148,372,127,449,435,314
88,Monogamous,102,102,102,88,418,223,16,50,128,212,495,231,218
89,Monogamous,103,103,103,84,524,0,0,0,0,0,0,0,0
90,Polyandrous,5,5,1,65,415,318,153,105,119,127,390,257,377
91,Monogamous,104,104,104,103,392,314,14,29,115,109,386,300,87
92,Polyandrous,4,4,5,36,323,247,2,0,0,0,0,0,0
93,Monogamous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
94,Monogamous,105,105,105,55,527,295,24,66,NA,124,330,238,320
95,Polyandrous,20,20,16,70,776,396,157,272,473,170,767,666,309
96,Polyandrous,19,19,20,52,12,120,47,79,266,36,152,186,253
97,Monogamous,106,106,106,36,521,182,0,0,0,0,0,0,0
98,Polyandrous,18,18,19,48,560,438,17,248,179,128,564,101,206
99,Polyandrous,8,8,9,61,354,451,21,44,127,115,278,124,202
100,Monogamous,107,107,107,95,350,293,41,104,40,11,61,132,28
101,Polyandrous,15,15,11,45,39,490,67,313,151,354,589,332,428
102,Monogamous,108,108,108,55,72,152,133,217,323,241,306,335,142
103,Monogamous,109,109,109,27,45,149,99,35,65,132,160,340,272
104,Monogamous,110,110,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Monogamous,111,111,111,0,0,0,0,0,0,0,0,0,0
106,Polyandrous,44,44,45,21,332,448,0,0,265,353,517,641,229
107,Polyandrous,45,45,41,75,172,317,192,211,371,250,499,453,442
108,Polyandrous,6,6,7,49,346,496,399,288,441,290,485,208,480
109,Monogamous,112,112,112,12,101,327,26,190,61,43,129,236,89
110,Polyandrous,7,7,8,45,NA,189,23,23,117,37,214,153,195
111,Polyandrous,13,13,14,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Monogamous,113,113,113,2,0,0,0,0,0,0,0,0,0
113,Monogamous,114,114,114,47,94,260,77,137,146,235,320,405,135
114,Polyandrous,14,14,15,35,22,154,191,149,238,436,296,392,158
115,Monogamous,115,115,115,19,107,358,137,201,143,322,384,150,37
116,Polyandrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Monogamous,116,116,116,0,196,361,107,165,191,474,72,317,149
